Name,Description,Type,Cost,Data1,Data2
TM50,,Move,,Submarine,
Steroids,Increases Player’s level by 1.,Stats,10000,Age,1
HGH,HP level will increase.,Stats,8000,MaxHP,1
Protein,Batting ability points will increase.,Stats,2000,Bat,1
Iron,Fielding ability points will increase.,Stats,2000,Field,1
Carbos,Speed points will increase.,Stats,2000,Speed,1
Calcium,Throwing ability points will increase.,Stats,2000,Throw,1
PP Up,PP level will increase.,Stats,5000,MaxPP,1
Nugget,This item is not very effective unless you’re after gold.,Sell,50000,,
Helix Jersey,You will need to find the secret of this item.,Special,,,
Dome Helmet,You will need to find the secret of this item.,Special,,,
Old Hat,You will need to find the secret of this item.,Special,,,
Town Map,This map will help you navigate the world of Baseball.,Special,,,
Gold Teeth,These belong to the warden of Strike Zone.,Special,,,
S.S. Ticket,A boarding ticket for the S.S. Manny.,Special,,,
Dream Scope,This allows you to identify a ghostly Player.,Special,,,
Harmonica,It wakes up sleeping Players. It’s handy during games.,Special,,,
Old Rod,Use this rod to fish with water Players.,Special,,Fish,
Good Rod,This rod can recruit Players that the OLD ROD can’t.,Special,,Fish,
Super Rod,The best rod. It recruits Players that the other rods can’t.,Special,,Fish,
Itemfinder,This handy machine helps you find items.,Special,,,
Exp. All,Share experience with Players who didn’t play.,Special,,,
Token Case,"Save a maximum of 9,999 tokens in this.",Special,,,
Fire Glove,This glove has a connection to Fire Players.,Stats,10000,Evolve,
Spark Glove,This glove has a connection to Electric Players.,Stats,10000,Evolve,
Water Glove,This glove has a connection to Water Players.,Stats,10000,Evolve,
Leaf Glove,This glove has a connection to Grass Players.,Stats,10000,Evolve,
Moon Glove,This glove has a connection to ? Players.,Stats,,Evolve,
Antidote,This removes poison from a Player,Stats,100,Poison,
Burn Heal,This heals a Player that is burned.,Stats,100,Burn,
Ice Heal,Thaws a frozen Player.,Stats,100,Freeze,
Awakening,This wakes up a sleeping Player.,Stats,100,Sleep,
Parlyz Heal,This heals a paralyzed Player.,Stats,100,Paralyze,
Full Heal,This will heal all of the conditions stated above.,Stats,100,Conditions,
Potion,This will restore some HP.,Stats,100,HP,20
Super Potion,This will restore more HP than a POTION.,Stats,100,HP,50
Hyper Potion,This will restore more HP than a SUPER POTION.,Stats,100,HP,100
Max Potion,This restores HP to its maximum.,Stats,100,HP,500
Full Restore,This will heal all conditions and fully restore HP.,Stats,100,All,
Revive,This will revive an exhausted Player and restore ½ HP.,Stats,100,Revive,50
Max Revive,This will revive an exhausted Player and fully restore HP.,Stats,100,Revive,500
Water,"During a game, it will restore HP a little.",Stats,1,HP,10
Beer,"During a game, it will restore HP a lot.",Stats,5,HP,50
Sport-Ade,"During a game, it will restore HP a lot more.",Stats,8,HP,100
Bicycle,This is too expensive for a child to buy.,World,,,
Escape Rope,This rope can pull you out of a cave instantly.,World,100,,
Repel,Spray on and weak Players will avoid you for a while.,World,100,Repel,10
Super Repel,This spray lasts longer than REPEL.,World,1000,Repel,50
Max Repel,This spray lasts longer than SUPER REPEL.,World,10000,Repel,100
